iter	Passed	Remaining
0	34	34872
1	59	29864
2	110	36675
3	128	31932
4	145	29044
5	194	32223
6	242	34455
7	260	32242
8	309	34090
9	358	35468
10	407	36607
11	439	36203
12	487	37007
13	520	36689
14	568	37349
15	609	37500
16	626	36245
17	675	36845
18	723	37379
19	774	37952
20	822	38362
21	847	37657
22	864	36704
23	913	37140
24	944	36830
25	992	37169
26	1009	36384
27	1059	36776
28	1108	37112
29	1158	37473
30	1230	38458
31	1284	38850
32	1335	39128
33	1389	39490
34	1439	39698
35	1488	39861
36	1538	40047
37	1589	40238
38	1613	39762
39	1661	39873
40	1710	40012
41	1762	40205
42	1787	39781
43	1835	39885
44	1885	40023
45	1912	39657
46	1937	39277
47	1985	39373
48	2035	39512
49	2096	39832
50	2129	39627
51	2179	39727
52	2227	39807
53	2276	39881
54	2326	39972
55	2343	39502
56	2393	39589
57	2443	39683
58	2482	39592
59	2530	39637
60	2579	39702
61	2596	39275
62	2643	39323
63	2692	39373
64	2733	39314
65	2791	39502
66	2840	39560
67	2888	39592
68	2936	39620
69	2984	39652
70	3032	39673
71	3072	39601
72	3121	39641
73	3169	39664
74	3195	39408
75	3242	39424
76	3291	39455
77	3357	39692
78	3374	39339
79	3398	39084
80	3439	39019
81	3489	39062
82	3544	39155
83	3568	38917
84	3617	38940
85	3666	38964
86	3713	38972
87	3762	38996
88	3818	39086
89	3851	38938
90	3898	38945
91	3962	39110
92	4013	39138
93	4062	39159
94	4111	39167
95	4160	39176
96	4210	39193
97	4259	39202
98	4308	39207
99	4356	39208
100	4390	39079
101	4438	39072
102	4486	39074
103	4534	39070
104	4583	39070
105	4631	39066
106	4681	39072
107	4729	39065
108	4740	38746
109	4790	38762
110	4841	38772
111	4881	38707
112	4899	38456
113	4925	38280
114	4974	38280
115	5023	38281
116	5070	38270
117	5120	38272
118	5167	38255
119	5215	38245
120	5248	38124
121	5298	38128
122	5346	38123
123	5395	38118
124	5445	38117
125	5492	38100
126	5509	37874
127	5558	37864
128	5606	37857
129	5624	37638
130	5671	37623
131	5721	37619
132	5772	37627
133	5812	37564
134	5862	37563
135	5896	37458
136	5945	37450
137	5994	37442
138	6042	37431
139	6091	37418
140	6141	37413
141	6173	37304
142	6206	37193
143	6254	37181
144	6304	37172
145	6352	37158
146	6401	37148
147	6411	36912
148	6459	36893
149	6508	36880
150	6555	36860
151	6610	36878
152	6659	36866
153	6707	36847
154	6757	36838
155	6807	36831
156	6847	36764
157	6895	36748
158	6943	36728
159	6992	36713
160	7010	36530
161	7059	36515
162	7111	36516
163	7159	36498
164	7209	36483
165	7256	36459
166	7304	36436
167	7356	36429
168	7404	36408
169	7452	36386
170	7501	36367
171	7548	36340
172	7597	36317
173	7659	36361
174	7707	36333
175	7756	36312
176	7806	36296
177	7855	36277
178	7873	36112
179	7920	36081
180	7945	35954
181	7994	35933
182	8043	35908
183	8083	35848
184	8108	35722
185	8141	35629
186	8150	35437
187	8198	35409
188	8230	35319
189	8279	35296
190	8328	35275
191	8377	35256
192	8425	35229
193	8473	35205
194	8522	35181
195	8548	35064
196	8597	35043
197	8645	35019
198	8695	34999
199	8727	34910
200	8777	34890
201	8830	34883
202	8877	34855
203	8887	34678
204	8927	34620
205	8976	34597
206	9000	34481
207	9017	34336
208	9050	34253
209	9067	34112
210	9099	34027
211	9148	34003
212	9196	33981
213	9246	33959
214	9295	33938
215	9343	33914
216	9384	33863
217	9416	33778
218	9442	33673
219	9490	33646
220	9538	33620
221	9593	33619
222	9642	33598
223	9690	33571
224	9739	33547
225	9766	33447
226	9814	33422
227	9863	33396
228	9912	33372
229	9960	33344
230	10008	33318
231	10056	33290
232	10089	33212
233	10136	33180
234	10187	33165
235	10236	33137
236	10284	33111
237	10333	33083
238	10380	33052
239	10430	33028
240	10477	32999
241	10526	32972
242	10576	32947
243	10625	32921
244	10673	32893
245	10722	32863
246	10772	32839
247	10805	32765
248	10854	32738
249	10880	32640
250	10928	32611
251	10977	32583
252	11025	32553
253	11075	32528
254	11123	32498
255	11170	32465
256	11219	32435
257	11266	32402
258	11314	32371
259	11362	32339
260	11410	32309
261	11458	32276
262	11491	32203
263	11538	32168
264	11587	32139
265	11635	32108
266	11685	32081
267	11734	32051
268	11785	32025
269	11833	31994
270	11880	31960
271	11929	31930
272	11978	31897
273	12027	31868
274	12076	31837
275	12125	31806
276	12149	31711
277	12197	31678
278	12223	31587
279	12270	31553
280	12318	31519
281	12367	31488
282	12416	31457
283	12464	31424
284	12496	31352
285	12543	31316
286	12578	31248
287	12627	31218
288	12677	31188
289	12726	31157
290	12752	31069
291	12803	31044
292	12852	31011
293	12901	30981
294	12951	30951
295	13000	30919
296	13048	30885
297	13074	30800
298	13128	30778
299	13138	30655
300	13189	30628
301	13238	30597
302	13288	30568
303	13338	30538
304	13387	30506
305	13412	30419
306	13461	30386
307	13520	30378
308	13546	30292
309	13556	30174
310	13606	30144
311	13657	30115
312	13707	30086
313	13759	30061
314	13809	30029
315	13819	29912
316	13866	29877
317	13916	29845
318	13964	29811
319	13980	29709
320	14029	29675
321	14079	29645
322	14128	29612
323	14154	29531
324	14203	29498
325	14253	29467
326	14301	29434
327	14351	29403
328	14377	29322
329	14425	29288
330	14475	29256
331	14499	29173
332	14547	29138
333	14573	29059
334	14621	29025
335	14639	28930
336	14688	28898
337	14736	28862
338	14786	28832
339	14835	28798
340	14884	28765
341	14932	28729
342	14981	28696
343	15030	28662
344	15078	28627
345	15126	28592
346	15176	28559
347	15225	28525
348	15274	28491
349	15324	28460
350	15373	28425
351	15421	28390
352	15469	28353
353	15517	28317
354	15566	28282
355	15615	28247
356	15664	28213
357	15711	28175
358	15762	28144
359	15811	28110
360	15860	28074
361	15910	28041
362	15959	28006
363	16008	27970
364	16061	27941
365	16109	27905
366	16159	27872
367	16209	27837
368	16257	27800
369	16274	27710
370	16314	27659
371	16362	27622
372	16410	27585
373	16459	27549
374	16506	27511
375	16555	27475
376	16606	27442
377	16655	27407
378	16706	27374
379	16756	27339
380	16803	27300
381	16852	27263
382	16902	27228
383	16949	27190
384	16982	27128
385	17031	27091
386	17094	27076
387	17143	27040
388	17189	26999
389	17236	26959
390	17285	26922
391	17332	26883
392	17380	26844
393	17430	26808
394	17479	26771
395	17527	26733
396	17575	26695
397	17625	26659
398	17674	26622
399	17723	26585
400	17773	26549
401	17822	26511
402	17870	26472
403	17917	26433
404	17968	26397
405	18017	26360
406	18066	26322
407	18116	26286
408	18164	26247
409	18213	26209
410	18261	26171
411	18311	26134
412	18361	26097
413	18408	26056
414	18457	26018
415	18506	25980
416	18555	25942
417	18602	25901
418	18652	25864
419	18701	25825
420	18751	25789
421	18800	25749
422	18848	25711
423	18897	25671
424	18947	25635
425	18997	25597
426	19047	25559
427	19096	25521
428	19144	25481
429	19193	25443
430	19242	25403
431	19291	25365
432	19340	25326
433	19389	25287
434	19440	25250
435	19488	25209
436	19536	25169
437	19584	25129
438	19635	25091
439	19685	25054
440	19738	25019
441	19787	24980
442	19835	24939
443	19889	24906
444	19939	24868
445	19989	24829
446	20037	24788
447	20086	24749
448	20134	24709
449	20184	24669
450	20231	24628
451	20281	24588
452	20329	24547
453	20379	24509
454	20428	24469
455	20477	24428
456	20526	24389
457	20576	24350
458	20624	24309
459	20673	24268
460	20721	24227
461	20772	24189
462	20819	24146
463	20867	24106
464	20917	24066
465	20967	24026
466	21015	23986
467	21065	23945
468	21112	23903
469	21162	23863
470	21210	23822
471	21259	23782
472	21308	23741
473	21356	23699
474	21405	23659
475	21454	23618
476	21502	23576
477	21552	23536
478	21603	23497
479	21652	23456
480	21700	23415
481	21750	23374
482	21799	23333
483	21847	23292
484	21896	23251
485	21945	23210
486	21995	23169
487	22043	23127
488	22092	23085
489	22141	23044
490	22189	23002
491	22238	22961
492	22288	22921
493	22337	22880
494	22387	22839
495	22434	22796
496	22484	22756
497	22532	22713
498	22580	22671
499	22629	22629
500	22677	22586
501	22725	22544
502	22775	22503
503	22824	22462
504	22873	22420
505	22920	22377
506	22970	22336
507	23018	22293
508	23067	22252
509	23117	22211
510	23168	22171
511	23217	22128
512	23266	22087
513	23315	22045
514	23364	22003
515	23414	21962
516	23464	21921
517	23513	21879
518	23562	21836
519	23610	21794
520	23659	21752
521	23708	21710
522	23759	21670
523	23809	21628
524	23858	21585
525	23906	21543
526	23955	21501
527	24004	21458
528	24053	21415
529	24118	21387
530	24166	21345
531	24215	21302
532	24263	21259
533	24312	21216
534	24361	21174
535	24409	21130
536	24460	21089
537	24509	21046
538	24558	21004
539	24608	20962
540	24656	20919
541	24704	20876
542	24756	20835
543	24804	20792
544	24853	20749
545	24901	20705
546	24950	20663
547	24998	20619
548	25048	20576
549	25098	20535
550	25146	20491
551	25196	20449
552	25245	20406
553	25294	20363
554	25341	20319
555	25391	20276
556	25441	20234
557	25489	20190
558	25537	20146
559	25587	20104
560	25635	20060
561	25686	20018
562	25735	19976
563	25784	19932
564	25832	19888
565	25881	19845
566	25929	19801
567	25978	19758
568	26026	19714
569	26074	19670
570	26123	19626
571	26171	19583
572	26221	19540
573	26271	19497
574	26320	19453
575	26367	19409
576	26415	19365
577	26463	19321
578	26513	19278
579	26562	19234
580	26610	19190
581	26658	19146
582	26707	19102
583	26757	19059
584	26806	19016
585	26855	18973
586	26907	18931
587	26956	18887
588	27004	18843
589	27053	18799
590	27102	18756
591	27151	18712
592	27208	18674
593	27258	18630
594	27307	18587
595	27356	18543
596	27404	18499
597	27453	18455
598	27501	18410
599	27549	18366
600	27597	18322
601	27646	18277
602	27694	18233
603	27744	18190
604	27793	18146
605	27841	18101
606	27890	18057
607	27937	18012
608	27985	17967
609	28033	17923
610	28082	17879
611	28131	17835
612	28182	17791
613	28232	17748
614	28281	17704
615	28332	17661
616	28381	17617
617	28429	17572
618	28478	17528
619	28526	17483
620	28574	17439
621	28623	17395
622	28673	17351
623	28722	17307
624	28773	17264
625	28823	17220
626	28873	17176
627	28922	17132
628	28970	17087
629	29020	17043
630	29068	16998
631	29117	16954
632	29166	16910
633	29214	16865
634	29264	16821
635	29321	16781
636	29370	16736
637	29418	16691
638	29466	16646
639	29515	16602
640	29567	16559
641	29616	16515
642	29664	16470
643	29712	16425
644	29763	16381
645	29813	16337
646	29861	16292
647	29910	16247
648	29960	16203
649	30010	16159
650	30059	16114
651	30109	16070
652	30156	16025
653	30204	15979
654	30252	15934
655	30300	15889
656	30349	15844
657	30398	15799
658	30446	15754
659	30495	15709
660	30543	15664
661	30592	15619
662	30640	15574
663	30688	15529
664	30738	15484
665	30786	15439
666	30834	15394
667	30883	15349
668	30932	15304
669	30981	15259
670	31029	15214
671	31077	15168
672	31125	15123
673	31175	15078
674	31224	15033
675	31272	14988
676	31319	14942
677	31367	14897
678	31416	14852
679	31464	14806
680	31513	14761
681	31560	14716
682	31610	14671
683	31658	14626
684	31709	14581
685	31760	14537
686	31808	14491
687	31856	14446
688	31906	14401
689	31953	14356
690	32003	14311
691	32053	14266
692	32104	14222
693	32153	14177
694	32202	14132
695	32251	14087
696	32301	14042
697	32352	13997
698	32400	13952
699	32447	13906
700	32496	13860
701	32549	13817
702	32598	13772
703	32647	13726
704	32697	13681
705	32748	13637
706	32797	13592
707	32847	13547
708	32896	13502
709	32947	13457
710	32996	13412
711	33046	13367
712	33095	13321
713	33146	13277
714	33194	13231
715	33243	13186
716	33291	13140
717	33342	13095
718	33392	13050
719	33447	13007
720	33496	12961
721	33546	12916
722	33595	12871
723	33644	12825
724	33692	12779
725	33763	12742
726	33812	12697
727	33861	12651
728	33910	12605
729	33958	12560
730	34008	12514
731	34057	12469
732	34107	12423
733	34155	12377
734	34204	12332
735	34253	12286
736	34301	12240
737	34347	12193
738	34396	12148
739	34443	12101
740	34492	12056
741	34541	12010
742	34590	11964
743	34639	11919
744	34688	11873
745	34738	11827
746	34786	11781
747	34834	11735
748	34883	11689
749	34931	11643
750	34979	11597
751	35028	11551
752	35077	11506
753	35127	11460
754	35178	11415
755	35227	11369
756	35275	11323
757	35324	11277
758	35372	11231
759	35421	11185
760	35473	11140
761	35524	11095
762	35579	11051
763	35628	11005
764	35676	10959
765	35727	10914
766	35777	10868
767	35826	10822
768	35875	10776
769	35924	10730
770	35973	10684
771	36023	10639
772	36072	10593
773	36120	10546
774	36170	10501
775	36218	10454
776	36266	10408
777	36316	10362
778	36364	10316
779	36413	10270
780	36463	10224
781	36511	10178
782	36560	10132
783	36609	10086
784	36658	10040
785	36707	9994
786	36757	9948
787	36805	9901
788	36854	9855
789	36902	9809
790	36951	9763
791	37000	9717
792	37048	9670
793	37097	9624
794	37145	9578
795	37194	9532
796	37242	9485
797	37290	9439
798	37338	9393
799	37388	9347
800	37437	9301
801	37486	9254
802	37536	9208
803	37584	9162
804	37633	9116
805	37682	9069
806	37733	9024
807	37782	8978
808	37831	8931
809	37878	8885
810	37928	8839
811	37977	8792
812	38026	8746
813	38076	8700
814	38126	8654
815	38175	8608
816	38224	8561
817	38274	8515
818	38323	8469
819	38373	8423
820	38422	8377
821	38472	8330
822	38522	8284
823	38571	8238
824	38622	8192
825	38671	8146
826	38723	8100
827	38771	8054
828	38820	8007
829	38884	7964
830	38933	7917
831	38982	7871
832	39032	7825
833	39080	7778
834	39130	7732
835	39184	7686
836	39241	7642
837	39292	7596
838	39341	7549
839	39389	7502
840	39439	7456
841	39487	7409
842	39537	7363
843	39587	7317
844	39635	7270
845	39683	7223
846	39736	7177
847	39786	7131
848	39834	7084
849	39882	7038
850	39931	6991
851	39980	6944
852	40031	6898
853	40080	6852
854	40128	6805
855	40178	6758
856	40228	6712
857	40279	6666
858	40328	6619
859	40379	6573
860	40430	6527
861	40481	6480
862	40533	6434
863	40584	6388
864	40635	6341
865	40685	6295
866	40738	6249
867	40787	6202
868	40836	6156
869	40884	6109
870	40931	6062
871	40981	6015
872	41030	5968
873	41078	5922
874	41127	5875
875	41175	5828
876	41226	5782
877	41277	5735
878	41328	5689
879	41378	5642
880	41430	5596
881	41480	5549
882	41540	5504
883	41589	5457
884	41638	5410
885	41686	5363
886	41736	5317
887	41784	5270
888	41833	5223
889	41881	5176
890	41930	5129
891	41978	5082
892	42026	5035
893	42078	4989
894	42128	4942
895	42178	4895
896	42226	4848
897	42275	4801
898	42324	4754
899	42373	4708
900	42419	4660
901	42467	4614
902	42517	4567
